,year,title,n_steps,start_length,end_length,compression
420_2014,2014,42,24629,37079724.05441555,28014210.756903134,0.7555129244163599
420_2015,2015,42,24778,37641815.93247882,28436617.81225782,0.7554528682480911
430_1995,1995,43,4679,2445899.4998547095,2015683.0487676994,0.8241070611803283
430_1996,1996,43,4734,2463885.673758424,2025738.3608729215,0.82217222270011
430_1997,1997,43,4734,2475904.4045429747,2036181.980821454,0.8223992723973167
430_1998,1998,43,4745,2484632.3512185803,2042128.6664564423,0.8219037578959666
430_1999,1999,43,4729,2484953.971270393,2042906.8348787462,0.8221105334334795
430_2000,2000,43,4821,2536374.628028401,2084161.3137741308,0.8217087849495683
430_2001,2001,43,4829,2545743.6331740655,2090972.0911532782,0.821360039520644
430_2002,2002,43,4832,2546824.901300529,2091817.8525301437,0.8213434113440475
430_2003,2003,43,4847,2550434.206959243,2095132.6384263746,0.8214807630439909
430_2004,2004,43,4891,2587955.578039409,2124032.9329510713,0.8207377866045917
430_2005,2005,43,4919,2601854.5502469633,2134849.595103587,0.820510737197416
430_2006,2006,43,5007,2661134.3122193557,2180211.8198809493,0.8192791359195536
430_2007,2007,43,5010,2664668.6589588756,2182482.950853095,0.8190447782373897
430_2008,2008,43,5058,2709787.9833949497,2215694.930419034,0.8176635751565726
430_2009,2009,43,5126,2764616.1581412577,2257645.917218353,0.8166218339461065
430_2010,2010,43,5127,2767625.1571319173,2259748.875347847,0.8164938339011266
430_2011,2011,43,5162,2776874.387539073,2266744.3296665368,0.8162934340272321
430_2012,2012,43,5162,2778758.4240439897,2268450.5992410653,0.816354016100377
430_2013,2013,43,5159,2766348.774594555,2259606.330909468,0.8168190329654448
430_2014,2014,43,5165,2778157.8368071634,2269813.741033596,0.8170211609151088
430_2015,2015,43,5164,2778082.7666568914,2269811.298670609,0.8170423595413863
430_2016,2016,43,5149,2787426.1441613836,2277227.7554858215,0.8169643383218468
430_2017,2017,43,5179,2785910.5476274393,2275793.8674317854,0.8168940920841541
430_2018,2018,43,5299,2877265.409820525,2349533.8548066225,0.8165857229532326
430_2019,2019,43,5402,2931230.23996754,2391701.2877057865,0.8159377093940843
440_1994,1994,44,1050,413654.5246133435,360137.4678219226,0.8706237848082405
440_1995,1995,44,1086,426525.6298856464,370175.4932918958,0.8678856963206212
440_1996,1996,44,1084,425823.0670655833,369548.0077204651,0.8678440326567584
440_1997,1997,44,1084,426052.38508714014,369671.2194328755,0.8676661189380901
