text,counts,file
(15-0104-0-1-153),1,020_1995.xml
(24-0200-0-1-805),1,020_1995.xml
(10-0941-0-1-752),1,020_1995.xml
(03-5175-0-2-376),1,020_1995.xml
(75-0580-0-1-572),1,020_1995.xml
(97-0040-0-1-054),1,020_1995.xml
(14-0415-0-1-806),1,020_1995.xml
(75-0404-0-1-571),1,020_1995.xml
(20-2111-0-1-851),1,020_1995.xml
(14-0418-0-1-852),1,020_1995.xml
(00-0215-0-1-801),1,020_1995.xml
(18-4020-0-3-372),1,020_1995.xml
(84-8930-0-7-705),1,020_1995.xml
(89-0302-0-1-271),1,020_1995.xml
(89-0303-0-1-271),1,020_1995.xml
(64-4110-0-3-999),1,020_1995.xml
(46-0300-0-1-401),1,020_1995.xml
(89-5068-0-2-271),1,020_1995.xml
(89-4452-0-3-271),1,020_1995.xml
(20-8144-0-7-601),1,020_1995.xml
(56-3400-0-1-054),1,020_1995.xml
(24-8135-0-7-602),1,020_1995.xml
(05-0107-0-1-801),1,020_1995.xml
(19-8186-0-7-602),1,020_1995.xml
(10-8110-0-7-602),1,020_1995.xml
(10-8122-0-7-602),1,020_1995.xml
(10-8124-0-7-602),1,020_1995.xml
(16-9971-0-7-601),1,020_1995.xml
(97-8097-0-7-602),1,020_1995.xml
(13-1450-0-1-306),1,020_1995.xml
(47-0105-0-1-802),1,020_1995.xml
(60-8011-0-7-601),1,020_1995.xml
(60-8012-0-7-602),1,020_1995.xml
(69-0241-0-1-403),1,020_1995.xml
(75-0379-0-1-551),1,020_1995.xml
(16-1521-0-1-600),1,020_1995.xml
(75-0409-0-1-601),1,020_1995.xml
(23-8115-0-7-602),1,020_1995.xml
(72-4340-0-3-151),1,020_1995.xml
(12-4140-0-3-351),1,020_1995.xml
(20-0114-0-1-271),1,020_1995.xml
(20-4109-0-3-803),1,020_1995.xml
(86-0162-0-1-451),1,020_1995.xml
(25-4468-0-3-371),1,020_1995.xml
(13-4406-0-3-452),1,020_1995.xml
(24-8424-0-8-602),1,020_1995.xml
(20-0112-0-1-271),1,020_1995.xml
(83-4027-0-3-155),1,020_1995.xml
(69-4120-0-3-402),1,020_1995.xml
(12-4085-0-3-351),1,020_1995.xml
(51-8419-0-8-371),1,020_1995.xml
(58-4236-0-3-453),1,020_1995.xml
(58-4235-0-3-451),1,020_1995.xml
(86-4070-0-3-371),1,020_1995.xml
(69-4301-0-3-403),1,020_1995.xml
(13-4417-0-3-376),1,020_1995.xml
(89-0206-0-1-271),1,020_1995.xml
(86-4238-0-3-371),1,020_1995.xml
(75-4307-0-3-553),1,020_1995.xml
(97-4090-0-3-051),1,020_1995.xml
(14-4410-0-3-452),1,020_1995.xml
(13-1250-0-1-376),1,020_1995.xml
(86-4098-0-3-604),1,020_1995.xml
(69-4302-0-3-403),1,020_1995.xml
(71-4030-0-3-151),1,020_1995.xml
(16-4204-0-3-601),1,020_1995.xml
(69-0122-0-1-401),1,020_1995.xml
(69-4411-0-3-401),1,020_1995.xml
(12-4155-0-3-452),1,020_1995.xml
(12-4230-8-3-271),1,020_1995.xml
(12-4141-0-3-371),1,020_1995.xml
(73-4154-0-3-376),1,020_1995.xml
(73-4157-0-3-376),1,020_1995.xml
(73-4147-0-3-376),1,020_1995.xml
(73-4156-0-3-376),1,020_1995.xml
(36-4025-0-3-704),1,020_1995.xml
(36-4009-0-3-701),1,020_1995.xml
(75-0412-0-1-609),1,020_1995.xml
(12-3539-0-1-605),1,020_1995.xml
(12-3512-0-1-605),1,020_1995.xml
(75-0512-0-1-55l),1,020_1995.xml
(75-0406-0-1-609),1,020_1995.xml
(12-3510-0-1-605),1,020_1995.xml
(75-0350-0-1-550),2,020_1995.xml
(75-0391-0-1-551),1,020_1995.xml
(75-0390-0-1-551),1,020_1995.xml
(36-0160-0-1-703),1,020_1995.xml
(b)(3)(D),2,020_1995.xml
(G)(i),1,020_1995.xml
(xv),1,020_1995.xml
(xvi),1,020_1995.xml
(xvii),1,020_1995.xml
(xviii),1,020_1995.xml
(xix),1,020_1995.xml
(a),61,020_1996.xml
(b),57,020_1996.xml
(c),12,020_1996.xml
(1),431,020_1996.xml
(2),435,020_1996.xml
(3),225,020_1996.xml
(4),116,020_1996.xml
(5),77,020_1996.xml
(6),46,020_1996.xml
(7),40,020_1996.xml
(8),26,020_1996.xml
(9),18,020_1996.xml
(10),14,020_1996.xml
(11),10,020_1996.xml
(12),6,020_1996.xml
(13),5,020_1996.xml
(14),4,020_1996.xml
(1)(A),8,020_1996.xml
(B),290,020_1996.xml
(i),89,020_1996.xml
(ii),99,020_1996.xml
(d),11,020_1996.xml
(e)(1)(B),2,020_1996.xml
(A),248,020_1996.xml
(C),133,020_1996.xml
